warehouse,date,orders,holiday_name,holiday,shutdown,mini_shutdown,shops_closed,winter_school_holidays,school_holidays,blackout,mov_change,frankfurt_shutdown,precipitation,snow,user_activity_1,user_activity_2,id,warehouse_id,holiday_name_id,weekday,month
Prague_1,2020-12-27,6702,,0,0,0,0,0,0,0,0,0,0,0,1734,31816,Prague_1_2020-12-27,51,0,7,12
Prague_1,2020-12-28,7210,,0,0,0,0,0,0,0,0,0,0,0,1770,31813,Prague_1_2020-12-28,51,0,1,12
Prague_1,2020-12-29,7597,,0,0,0,0,0,0,0,0,0,0,0,1735,31688,Prague_1_2020-12-29,51,0,2,12
Prague_1,2020-12-30,7618,,0,0,0,0,0,0,0,0,0,0,0,1744,31628,Prague_1_2020-12-30,51,0,3,12
Prague_1,2020-12-31,6238,,0,0,0,0,0,0,0,0,0,0,0,1668,31566,Prague_1_2020-12-31,51,0,4,12
Prague_1,2021-01-01,3754,New Years Day,1,0,0,1,0,0,0,0,0,0,0,1618,31352,Prague_1_2021-01-01,51,22,5,1
Prague_1,2021-01-02,6553,,0,0,0,0,0,0,0,0,0,0,0,1706,31309,Prague_1_2021-01-02,51,0,6,1
Prague_1,2021-01-03,6841,,0,0,0,0,0,0,0,0,0,1,0,1675,31303,Prague_1_2021-01-03,51,0,7,1
Prague_1,2021-01-04,7984,,0,0,0,0,0,0,0,0,0,0.3,0,1724,31399,Prague_1_2021-01-04,51,0,1,1
Prague_1,2021-01-05,7466,,0,0,0,0,0,0,0,0,0,5.6,1,1759,31528,Prague_1_2021-01-05,51,0,2,1
Prague_1,2021-01-06,7422,,0,0,0,0,0,0,0,0,0,0.5,2,1756,31640,Prague_1_2021-01-06,51,0,3,1
Prague_1,2021-01-07,7669,,0,0,0,0,0,0,0,0,0,9.4,8,1796,31774,Prague_1_2021-01-07,51,0,4,1
Prague_1,2021-01-08,8083,,0,0,0,0,0,0,0,0,0,0,6,1748,31844,Prague_1_2021-01-08,51,0,5,1
Prague_1,2021-01-09,7555,,0,0,0,0,0,0,0,0,0,0.3,4,1766,31908,Prague_1_2021-01-09,51,0,6,1
Prague_1,2021-01-10,7435,,0,0,0,0,0,0,0,0,0,0.8,4,1774,31987,Prague_1_2021-01-10,51,0,7,1
Prague_1,2021-01-11,7766,,0,0,0,0,0,0,0,0,0,0,4,1742,32096,Prague_1_2021-01-11,51,0,1,1
Prague_1,2021-01-12,7854,,0,0,0,0,0,0,0,0,0,39.9,4,1765,32256,Prague_1_2021-01-12,51,0,2,1
Prague_1,2021-01-13,7728,,0,0,0,0,0,0,0,0,0,1.5,4,1752,32370,Prague_1_2021-01-13,51,0,3,1
Prague_1,2021-01-14,7873,,0,0,0,0,0,0,0,0,0,1.3,7,1794,32432,Prague_1_2021-01-14,51,0,4,1
Prague_1,2021-01-15,8191,,0,0,0,0,0,0,0,0,0,0,10,1747,32437,Prague_1_2021-01-15,51,0,5,1
Prague_1,2021-01-16,7660,,0,0,0,0,0,0,0,0,0,1,14,1788,32439,Prague_1_2021-01-16,51,0,6,1
Prague_1,2021-01-17,7352,,0,0,0,0,0,0,0,0,0,80,10,1705,32378,Prague_1_2021-01-17,51,0,7,1
Prague_1,2021-01-18,8212,,0,0,0,0,0,0,0,0,0,0.3,8,1795,32391,Prague_1_2021-01-18,51,0,1,1
Prague_1,2021-01-19,7993,,0,0,0,0,0,0,0,0,0,0.3,7,1734,32410,Prague_1_2021-01-19,51,0,2,1
Prague_1,2021-01-20,7669,,0,0,0,0,0,0,0,0,0,0.5,4,1729,32282,Prague_1_2021-01-20,51,0,3,1
Prague_1,2021-01-21,7903,,0,0,0,0,0,0,0,0,0,0,1,1730,32140,Prague_1_2021-01-21,51,0,4,1
Prague_1,2021-01-22,8491,,0,0,0,0,0,0,0,0,0,0,0,1741,31998,Prague_1_2021-01-22,51,0,5,1
Prague_1,2021-01-23,7846,,0,0,0,0,0,0,0,0,0,0,0,1729,32167,Prague_1_2021-01-23,51,0,6,1
Prague_1,2021-01-24,7346,,0,0,0,0,0,0,0,0,0,2.5,1,1698,32522,Prague_1_2021-01-24,51,0,7,1
Prague_1,2021-01-25,7776,,0,0,0,0,0,0,0,0,0,1,2,1692,32411,Prague_1_2021-01-25,51,0,1,1
Prague_1,2021-01-26,7735,,0,0,0,0,0,0,0,0,0,0,3,1740,32511,Prague_1_2021-01-26,51,0,2,1
Prague_1,2021-01-27,7561,,0,0,0,0,0,0,0,0,0,1.8,4,1705,32500,Prague_1_2021-01-27,51,0,3,1
Prague_1,2021-01-28,7855,,0,0,0,0,0,0,0,0,0,0.3,2,1718,32493,Prague_1_2021-01-28,51,0,4,1
Prague_1,2021-01-29,8269,,0,0,0,0,0,0,0,0,0,8.6,0,1714,32510,Prague_1_2021-01-29,51,0,5,1
Prague_1,2021-01-30,8113,,0,0,0,0,0,0,0,0,0,8.4,1,1756,32631,Prague_1_2021-01-30,51,0,6,1
Prague_1,2021-01-31,7134,,0,0,0,0,0,0,0,0,0,1,1,1694,32794,Prague_1_2021-01-31,51,0,7,1
Prague_1,2021-02-01,7531,,0,0,0,0,0,0,0,0,0,0,0,1682,32881,Prague_1_2021-02-01,51,0,1,2
Prague_1,2021-02-02,7676,,0,0,0,0,0,0,0,0,0,0,0,1741,32968,Prague_1_2021-02-02,51,0,2,2
Prague_1,2021-02-03,7813,,0,0,0,0,0,0,0,0,0,0.5,0,1760,33016,Prague_1_2021-02-03,51,0,3,2
Prague_1,2021-02-04,7876,,0,0,0,0,0,0,0,0,0,6.1,0,1741,33080,Prague_1_2021-02-04,51,0,4,2
Prague_1,2021-02-05,8438,,0,0,0,0,0,0,0,0,0,0,0,1726,33119,Prague_1_2021-02-05,51,0,5,2
Prague_1,2021-02-06,7740,,0,0,0,0,0,0,0,0,0,3.6,3,1729,33106,Prague_1_2021-02-06,51,0,6,2
Prague_1,2021-02-07,7854,,0,0,0,0,0,0,0,0,0,4.8,5,1771,33194,Prague_1_2021-02-07,51,0,7,2
Prague_1,2021-02-08,8029,,0,0,0,0,0,0,0,0,0,10.2,11,1770,33255,Prague_1_2021-02-08,51,0,1,2
Prague_1,2021-02-09,8232,,0,0,0,0,0,0,0,0,0,1.5,15,1794,33366,Prague_1_2021-02-09,51,0,2,2
Prague_1,2021-02-10,8046,,0,0,0,0,0,0,0,0,0,0.2,15,1780,33464,Prague_1_2021-02-10,51,0,3,2
Prague_1,2021-02-11,8332,,0,0,0,0,0,0,0,0,0,0.3,15,1836,33560,Prague_1_2021-02-11,51,0,4,2
Prague_1,2021-02-12,8028,,0,0,0,0,0,0,0,0,0,0,14,1776,33625,Prague_1_2021-02-12,51,0,5,2
Prague_1,2021-02-13,7748,,0,0,0,0,0,0,0,0,0,0,12,1760,33620,Prague_1_2021-02-13,51,0,6,2
Prague_1,2021-02-14,7568,,0,0,0,0,0,0,0,0,0,0,12,1778,33685,Prague_1_2021-02-14,51,0,7,2
Prague_1,2021-02-15,7681,,0,0,0,0,0,0,0,0,0,1.4,12,1772,33656,Prague_1_2021-02-15,51,0,1,2
Prague_1,2021-02-16,7816,,0,0,0,0,0,0,0,0,0,1.8,12,1736,33721,Prague_1_2021-02-16,51,0,2,2
Prague_1,2021-02-17,8150,,0,0,0,0,0,0,0,0,0,2,6,1837,33816,Prague_1_2021-02-17,51,0,3,2
Prague_1,2021-02-18,7603,,0,0,0,0,0,0,0,0,0,0.3,2,1754,33816,Prague_1_2021-02-18,51,0,4,2
Prague_1,2021-02-19,8077,,0,0,0,0,0,0,0,0,0,0,0,1777,33876,Prague_1_2021-02-19,51,0,5,2
Prague_1,2021-02-20,7922,,0,0,0,0,0,0,0,0,0,0,0,1774,33921,Prague_1_2021-02-20,51,0,6,2
Prague_1,2021-02-21,7754,,0,0,0,0,0,0,0,0,0,0,0,1794,33964,Prague_1_2021-02-21,51,0,7,2
Prague_1,2021-02-22,8064,,0,0,0,0,0,0,0,0,0,0,0,1806,34040,Prague_1_2021-02-22,51,0,1,2
Prague_1,2021-02-23,8533,,0,0,0,0,0,0,0,0,0,0,0,1861,34195,Prague_1_2021-02-23,51,0,2,2
Prague_1,2021-02-24,8310,,0,0,0,0,0,0,0,0,0,0,0,1856,34335,Prague_1_2021-02-24,51,0,3,2
Prague_1,2021-02-25,8510,,0,0,0,0,0,0,0,0,0,0,0,1820,34492,Prague_1_2021-02-25,51,0,4,2
Prague_1,2021-02-26,8221,,0,0,0,0,0,0,0,0,0,0,0,1795,34623,Prague_1_2021-02-26,51,0,5,2
Prague_1,2021-02-27,7636,,0,0,0,0,0,0,0,0,0,4.3,0,1832,34707,Prague_1_2021-02-27,51,0,6,2
Prague_1,2021-02-28,6914,,0,0,0,0,0,0,0,0,0,0,0,1774,34748,Prague_1_2021-02-28,51,0,7,2
Prague_1,2021-03-01,6888,,0,0,0,0,1,0,0,0,0,0,0,1818,34762,Prague_1_2021-03-01,51,0,1,3
Prague_1,2021-03-02,7554,,0,0,0,0,1,0,0,0,0,0,0,1830,34879,Prague_1_2021-03-02,51,0,2,3
Prague_1,2021-03-03,7718,,0,0,0,0,1,0,0,0,0,0,0,1820,34978,Prague_1_2021-03-03,51,0,3,3
Prague_1,2021-03-04,7849,,0,0,0,0,1,0,0,0,0,0,0,1816,35050,Prague_1_2021-03-04,51,0,4,3
Prague_1,2021-03-05,7890,,0,0,0,0,1,0,0,0,0,13,0,1825,35092,Prague_1_2021-03-05,51,0,5,3
Prague_1,2021-03-06,8086,,0,0,0,0,1,0,0,0,0,0.8,0,1858,35172,Prague_1_2021-03-06,51,0,6,3
Prague_1,2021-03-07,8432,,0,0,0,0,1,0,0,0,0,0,0,1854,35233,Prague_1_2021-03-07,51,0,7,3
Prague_1,2021-03-08,8212,International womens day,0,0,0,0,1,0,0,0,0,2,1,1825,35299,Prague_1_2021-03-08,51,14,1,3
Prague_1,2021-03-09,8558,,0,0,0,0,1,0,0,0,0,0,0,1814,35362,Prague_1_2021-03-09,51,0,2,3
Prague_1,2021-03-10,8522,,0,0,0,0,1,0,0,0,0,0,0,1837,35438,Prague_1_2021-03-10,51,0,3,3
Prague_1,2021-03-11,8554,,0,0,0,0,1,0,0,0,0,0.3,0,1879,35443,Prague_1_2021-03-11,51,0,4,3
Prague_1,2021-03-12,8155,,0,0,0,0,1,0,0,0,0,1,0,1801,35384,Prague_1_2021-03-12,51,0,5,3
Prague_1,2021-03-13,8426,,0,0,0,0,1,0,0,0,0,0,0,1834,35326,Prague_1_2021-03-13,51,0,6,3
Prague_1,2021-03-14,7984,,0,0,0,0,1,0,0,0,0,0,0,1822,35353,Prague_1_2021-03-14,51,0,7,3
Prague_1,2021-03-15,8371,,0,0,0,0,0,0,0,0,0,0,0,1846,35417,Prague_1_2021-03-15,51,0,1,3
Prague_1,2021-03-16,8641,,0,0,0,0,0,0,0,0,0,0.5,0,1826,35483,Prague_1_2021-03-16,51,0,2,3
Prague_1,2021-03-17,8760,,0,0,0,0,0,0,0,0,0,1,1,1772,35546,Prague_1_2021-03-17,51,0,3,3
Prague_1,2021-03-18,8560,,0,0,0,0,0,0,0,0,0,0.5,0,1788,35578,Prague_1_2021-03-18,51,0,4,3
Prague_1,2021-03-19,8574,,0,0,0,0,0,0,0,0,0,1,0,1772,35498,Prague_1_2021-03-19,51,0,5,3
Prague_1,2021-03-20,8482,,0,0,0,0,0,0,0,0,0,2.3,1,1792,35542,Prague_1_2021-03-20,51,0,6,3
Prague_1,2021-03-21,8262,,0,0,0,0,0,0,0,0,0,0,0,1762,35612,Prague_1_2021-03-21,51,0,7,3
Prague_1,2021-03-22,8263,,0,0,0,0,0,0,0,0,0,1.5,0,1758,35654,Prague_1_2021-03-22,51,0,1,3
Prague_1,2021-03-23,8328,,0,0,0,0,0,0,0,0,0,0,0,1778,35663,Prague_1_2021-03-23,51,0,2,3
Prague_1,2021-03-24,8076,,0,0,0,0,0,0,0,0,0,0,0,1726,35592,Prague_1_2021-03-24,51,0,3,3
Prague_1,2021-03-25,8304,,0,0,0,0,0,0,0,0,0,0,0,1718,35476,Prague_1_2021-03-25,51,0,4,3
Prague_1,2021-03-26,7838,,0,0,0,0,0,0,0,0,0,0,0,1699,35331,Prague_1_2021-03-26,51,0,5,3
Prague_1,2021-03-27,8760,,0,0,0,0,0,0,0,0,0,0,0,1735,35212,Prague_1_2021-03-27,51,0,6,3
Prague_1,2021-03-28,7692,,0,0,0,0,0,0,0,0,0,1,0,1734,35148,Prague_1_2021-03-28,51,0,7,3
Prague_1,2021-03-29,7993,,0,0,0,0,0,0,0,0,0,0,0,1730,35124,Prague_1_2021-03-29,51,0,1,3
Prague_1,2021-03-30,8056,,0,0,0,0,0,0,0,0,0,0,0,1698,35099,Prague_1_2021-03-30,51,0,2,3
Prague_1,2021-03-31,8470,,0,0,0,0,0,0,0,0,0,0,0,1741,35140,Prague_1_2021-03-31,51,0,3,3
Prague_1,2021-04-01,8744,,0,0,0,0,0,0,0,0,0,0,0,1682,35118,Prague_1_2021-04-01,51,0,4,4
Prague_1,2021-04-02,9224,Good Friday,1,0,0,0,0,0,0,0,0,0,0,1747,35186,Prague_1_2021-04-02,51,12,5,4
Prague_1,2021-04-03,8491,,1,0,0,0,0,0,0,0,0,0,0,1762,35256,Prague_1_2021-04-03,51,0,6,4
Prague_1,2021-04-04,7664,,1,0,0,0,0,0,0,0,0,0,0,1722,35264,Prague_1_2021-04-04,51,0,7,4
Prague_1,2021-04-05,6936,Easter Monday,1,0,0,1,0,0,0,0,0,0,0,1762,35283,Prague_1_2021-04-05,51,11,1,4
Prague_1,2021-04-06,8568,,0,0,0,0,0,0,0,0,0,2,0,1712,35276,Prague_1_2021-04-06,51,0,2,4
Prague_1,2021-04-07,8046,,0,0,0,0,0,0,0,0,0,0.8,0,1705,35293,Prague_1_2021-04-07,51,0,3,4
Prague_1,2021-04-08,8462,,0,0,0,0,0,0,0,0,0,0.5,1,1698,35259,Prague_1_2021-04-08,51,0,4,4
Prague_1,2021-04-09,8868,,0,0,0,0,0,0,0,0,0,0,0,1722,35180,Prague_1_2021-04-09,51,0,5,4
Prague_1,2021-04-10,8359,,0,0,0,0,0,0,0,0,0,0,0,1688,35096,Prague_1_2021-04-10,51,0,6,4
Prague_1,2021-04-11,6961,,0,0,0,0,0,0,0,0,0,0,0,1652,35022,Prague_1_2021-04-11,51,0,7,4
Prague_1,2021-04-12,8326,,0,0,0,0,0,0,0,0,0,0.5,1,1692,35024,Prague_1_2021-04-12,51,0,1,4
Prague_1,2021-04-13,8028,,0,0,0,0,0,0,0,0,0,4.3,0,1672,34957,Prague_1_2021-04-13,51,0,2,4
Prague_1,2021-04-14,7822,,0,0,0,0,0,0,0,0,0,0,0,1718,34909,Prague_1_2021-04-14,51,0,3,4
Prague_1,2021-04-15,8196,,0,0,0,0,0,0,0,0,0,0,0,1682,34780,Prague_1_2021-04-15,51,0,4,4
Prague_1,2021-04-16,8683,,0,0,0,0,0,0,0,0,0,1,0,1692,34687,Prague_1_2021-04-16,51,0,5,4
Prague_1,2021-04-17,8244,,0,0,0,0,0,0,0,0,0,0,0,1672,34627,Prague_1_2021-04-17,51,0,6,4
Prague_1,2021-04-18,7064,,0,0,0,0,0,0,0,0,0,0.3,0,1642,34514,Prague_1_2021-04-18,51,0,7,4
Prague_1,2021-04-19,7962,,0,0,0,0,0,0,0,0,0,0.3,0,1669,34433,Prague_1_2021-04-19,51,0,1,4
Prague_1,2021-04-20,7759,,0,0,0,0,0,0,0,0,0,0.8,0,1686,34342,Prague_1_2021-04-20,51,0,2,4
Prague_1,2021-04-21,7795,,0,0,0,0,0,0,0,0,0,0,0,1669,34275,Prague_1_2021-04-21,51,0,3,4
Prague_1,2021-04-22,8131,,0,0,0,0,0,0,0,0,0,1.8,0,1702,34258,Prague_1_2021-04-22,51,0,4,4
Prague_1,2021-04-23,8722,,0,0,0,0,0,0,0,0,0,0,0,1666,34227,Prague_1_2021-04-23,51,0,5,4
Prague_1,2021-04-24,7608,,0,0,0,0,0,0,0,0,0,0,0,1690,34174,Prague_1_2021-04-24,51,0,6,4
Prague_1,2021-04-25,7204,,0,0,0,0,0,0,0,0,0,0,0,1741,34126,Prague_1_2021-04-25,51,0,7,4
Prague_1,2021-04-26,8124,,0,0,0,0,0,0,0,0,0,0,0,1734,34128,Prague_1_2021-04-26,51,0,1,4
Prague_1,2021-04-27,7692,,0,0,0,0,0,0,0,0,0,0,0,1730,34114,Prague_1_2021-04-27,51,0,2,4
Prague_1,2021-04-28,7766,,0,0,0,0,0,0,0,0,0,0,0,1693,34109,Prague_1_2021-04-28,51,0,3,4
Prague_1,2021-04-29,8257,,0,0,0,0,0,0,0,0,0,0.2,0,1681,34098,Prague_1_2021-04-29,51,0,4,4
Prague_1,2021-04-30,8892,,0,0,0,0,0,0,0,0,0,0.9,0,1705,34052,Prague_1_2021-04-30,51,0,5,4
Prague_1,2021-05-01,7627,Labour Day,1,0,0,0,0,0,0,0,0,11.9,0,1660,33968,Prague_1_2021-05-01,51,16,6,5
Prague_1,2021-05-02,7396,,0,0,0,0,0,0,0,0,0,24.5,0,1670,33746,Prague_1_2021-05-02,51,0,7,5
Prague_1,2021-05-03,7950,,0,0,0,0,0,0,0,0,0,0,0,1678,33592,Prague_1_2021-05-03,51,0,1,5
Prague_1,2021-05-04,7531,,0,0,0,0,0,0,0,0,0,0,0,1638,33508,Prague_1_2021-05-04,51,0,2,5
Prague_1,2021-05-05,7092,,0,0,0,0,0,0,0,0,0,0,0,1636,33394,Prague_1_2021-05-05,51,0,3,5
Prague_1,2021-05-06,7954,,0,0,0,0,0,0,0,0,0,2.8,0,1646,33294,Prague_1_2021-05-06,51,0,4,5
Prague_1,2021-05-07,9012,,0,0,0,0,0,0,0,0,0,1.8,0,1692,33276,Prague_1_2021-05-07,51,0,5,5
Prague_1,2021-05-08,8215,Den osvobozeni,1,0,0,1,0,0,0,0,0,0,0,1708,33325,Prague_1_2021-05-08,51,9,6,5
Prague_1,2021-05-09,7310,,0,0,0,0,0,0,0,0,0,0,0,1634,33293,Prague_1_2021-05-09,51,0,7,5
Prague_1,2021-05-10,7878,,0,0,0,0,0,0,0,0,0,0,0,1630,33243,Prague_1_2021-05-10,51,0,1,5
Prague_1,2021-05-11,6505,,0,0,0,0,0,0,0,0,0,0,0,1615,33206,Prague_1_2021-05-11,51,0,2,5
Prague_1,2021-05-12,7093,,0,0,0,0,0,0,0,0,0,15.2,0,1633,33123,Prague_1_2021-05-12,51,0,3,5
Prague_1,2021-05-13,8418,,0,0,0,0,0,0,0,0,0,38.9,0,1681,33108,Prague_1_2021-05-13,51,0,4,5
Prague_1,2021-05-14,8930,,0,0,0,0,0,0,0,0,0,8.2,0,1660,33135,Prague_1_2021-05-14,51,0,5,5
Prague_1,2021-05-15,7770,,0,0,0,0,0,0,0,0,0,0.5,0,1642,33116,Prague_1_2021-05-15,51,0,6,5
Prague_1,2021-05-16,6976,,0,0,0,0,0,0,0,0,0,2.1,0,1624,33046,Prague_1_2021-05-16,51,0,7,5
Prague_1,2021-05-17,7634,,0,0,0,0,0,0,0,0,0,0.6,0,1627,32985,Prague_1_2021-05-17,51,0,1,5
Prague_1,2021-05-18,7434,,0,0,0,0,0,0,0,0,0,0,0,1644,33024,Prague_1_2021-05-18,51,0,2,5
Prague_1,2021-05-19,7430,,0,0,0,0,0,0,0,0,0,1,0,1633,32998,Prague_1_2021-05-19,51,0,3,5
Prague_1,2021-05-20,7688,,0,0,0,0,0,0,0,0,0,2.3,0,1633,33023,Prague_1_2021-05-20,51,0,4,5
Prague_1,2021-05-21,8566,,0,0,0,0,0,0,0,0,0,0.6,0,1638,32982,Prague_1_2021-05-21,51,0,5,5
Prague_1,2021-05-22,7242,,0,0,0,0,0,0,0,0,0,0.2,0,1646,32886,Prague_1_2021-05-22,51,0,6,5
Prague_1,2021-05-23,6960,,0,0,0,0,0,0,0,0,0,2.2,0,1612,32786,Prague_1_2021-05-23,51,0,7,5
Prague_1,2021-05-24,7684,,0,0,0,0,0,0,0,0,0,0,0,1624,32770,Prague_1_2021-05-24,51,0,1,5
Prague_1,2021-05-25,7658,,0,0,0,0,0,0,0,0,0,2.5,0,1630,32740,Prague_1_2021-05-25,51,0,2,5
Prague_1,2021-05-26,7352,,0,0,0,0,0,0,0,0,0,0.5,0,1632,32648,Prague_1_2021-05-26,51,0,3,5
Prague_1,2021-05-27,7454,,0,0,0,0,0,0,0,0,0,0,0,1634,32605,Prague_1_2021-05-27,51,0,4,5
Prague_1,2021-05-28,8365,,0,0,0,0,0,0,0,0,0,0,0,1652,32598,Prague_1_2021-05-28,51,0,5,5
Prague_1,2021-05-29,6930,,0,0,0,0,0,0,0,0,0,0.7,0,1657,32522,Prague_1_2021-05-29,51,0,6,5
Prague_1,2021-05-30,6649,,0,0,0,0,0,0,0,0,0,0,0,1620,32383,Prague_1_2021-05-30,51,0,7,5
Prague_1,2021-05-31,7292,,0,0,0,0,0,0,0,0,0,0,0,1621,32352,Prague_1_2021-05-31,51,0,1,5
Prague_1,2021-06-01,7051,,0,0,0,0,0,0,0,0,0,0,0,1636,32328,Prague_1_2021-06-01,51,0,2,6
Prague_1,2021-06-02,7278,,0,0,0,0,0,0,0,0,0,0,0,1638,32288,Prague_1_2021-06-02,51,0,3,6
Prague_1,2021-06-03,7446,,0,0,0,0,0,0,0,0,0,0,0,1658,32306,Prague_1_2021-06-03,51,0,4,6
Prague_1,2021-06-04,8190,,0,0,0,0,0,0,0,0,0,0,0,1668,32360,Prague_1_2021-06-04,51,0,5,6
Prague_1,2021-06-05,6640,,0,0,0,0,0,0,0,0,0,0,0,1632,32261,Prague_1_2021-06-05,51,0,6,6
Prague_1,2021-06-06,6889,,0,0,0,0,0,0,0,0,0,15,0,1627,32126,Prague_1_2021-06-06,51,0,7,6
Prague_1,2021-06-07,7300,,0,0,0,0,0,0,0,0,0,0,0,1646,31962,Prague_1_2021-06-07,51,0,1,6
Prague_1,2021-06-08,7504,,0,0,0,0,0,0,0,0,0,0,0,1669,31901,Prague_1_2021-06-08,51,0,2,6
Prague_1,2021-06-09,7237,,0,0,0,0,0,0,0,0,0,0.3,0,1710,31906,Prague_1_2021-06-09,51,0,3,6
Prague_1,2021-06-10,7464,,0,0,0,0,0,0,0,0,0,2,0,1712,32020,Prague_1_2021-06-10,51,0,4,6
Prague_1,2021-06-11,8016,,0,0,0,0,0,0,0,0,0,0.4,0,1669,32038,Prague_1_2021-06-11,51,0,5,6
Prague_1,2021-06-12,6463,,0,0,0,0,0,0,0,0,0,0.8,0,1669,31933,Prague_1_2021-06-12,51,0,6,6
Prague_1,2021-06-13,6658,,0,0,0,0,0,0,0,0,0,0,0,1698,31802,Prague_1_2021-06-13,51,0,7,6
Prague_1,2021-06-14,7492,,0,0,0,0,0,0,0,0,0,0,0,1687,31728,Prague_1_2021-06-14,51,0,1,6
Prague_1,2021-06-15,7264,,0,0,0,0,0,0,0,0,0,0,0,1675,31750,Prague_1_2021-06-15,51,0,2,6
Prague_1,2021-06-16,7226,,0,0,0,0,0,0,0,0,0,0,0,1662,31798,Prague_1_2021-06-16,51,0,3,6
Prague_1,2021-06-17,7164,,0,0,0,0,0,0,0,0,0,0,0,1668,31806,Prague_1_2021-06-17,51,0,4,6
Prague_1,2021-06-18,7590,,0,0,0,0,0,0,0,0,0,0,0,1668,31808,Prague_1_2021-06-18,51,0,5,6
Prague_1,2021-06-19,6530,,0,0,0,0,0,0,0,0,0,0,0,1640,31752,Prague_1_2021-06-19,51,0,6,6
Prague_1,2021-06-20,6416,,0,0,0,0,0,0,0,0,0,0,0,1634,31660,Prague_1_2021-06-20,51,0,7,6
Prague_1,2021-06-21,7384,,0,0,0,0,0,0,0,0,0,0,0,1678,31689,Prague_1_2021-06-21,51,0,1,6
Prague_1,2021-06-22,7706,,0,0,0,0,0,0,0,0,0,22.2,0,1642,31722,Prague_1_2021-06-22,51,0,2,6
Prague_1,2021-06-23,7201,,0,0,0,0,0,0,0,0,0,28.8,0,1646,31718,Prague_1_2021-06-23,51,0,3,6
Prague_1,2021-06-24,6976,,0,0,0,0,0,0,0,0,0,2.8,0,1642,31679,Prague_1_2021-06-24,51,0,4,6
Prague_1,2021-06-25,7555,,0,0,0,0,0,0,0,0,0,9.7,0,1632,31683,Prague_1_2021-06-25,51,0,5,6
Prague_1,2021-06-26,6409,,0,0,0,0,0,0,0,0,0,0,0,1620,31574,Prague_1_2021-06-26,51,0,6,6
Prague_1,2021-06-27,6458,,0,0,0,0,0,0,0,0,0,0,0,1616,31420,Prague_1_2021-06-27,51,0,7,6
Prague_1,2021-06-28,8461,,0,0,0,0,0,0,0,0,0,0,0,1668,32008,Prague_1_2021-06-28,51,0,1,6
